timestamp,device_id,src_ip,dst_ip,port,protocol,bytes,duration,attack_type
2026-03-13T10:34:36.938040+00:00,camera_01,192.168.1.101,104.21.34.28,443,TCP,128062,1.3857854368808245,normal
2026-03-13T10:34:38.992350+00:00,camera_02,192.168.1.102,104.21.34.25,443,TCP,62256,0.8251324886935777,normal
2026-03-13T10:34:42.847457+00:00,camera_01,192.168.1.101,104.21.34.28,443,TCP,125291,0.8358528912139651,normal
2026-03-13T10:34:44.883259+00:00,camera_02,192.168.1.102,104.21.34.15,443,TCP,68192,0.6812044652335522,normal
2026-03-13T10:34:47.132393+00:00,sensor_01,192.168.1.111,192.168.1.50,1883,TCP,109,0.0100257952960241,normal
2026-03-13T10:34:48.731302+00:00,camera_01,192.168.1.101,104.21.34.25,443,TCP,92203,1.1159204125580593,normal
2026-03-13T10:34:50.759172+00:00,camera_02,192.168.1.102,104.21.34.24,443,TCP,77150,1.7123676075202925,normal
2026-03-13T10:34:53.831658+00:00,camera_01,192.168.1.101,104.21.34.48,443,TCP,89584,1.3487194343431417,normal
2026-03-13T10:34:55.873648+00:00,camera_02,192.168.1.102,104.21.34.37,443,TCP,91227,0.6277521265005864,normal
2026-03-13T10:35:00.351268+00:00,camera_01,192.168.1.101,104.21.34.38,443,TCP,148725,1.2805967935024396,normal
2026-03-13T10:35:02.366236+00:00,camera_02,192.168.1.102,104.21.34.37,443,TCP,119531,0.4358342068260726,normal
2026-03-13T10:35:06.282410+00:00,camera_01,192.168.1.101,104.21.34.45,443,TCP,86891,1.3116376277650317,normal
2026-03-13T10:35:06.910695+00:00,printer_01,192.168.1.121,192.168.1.169,9100,TCP,194149,0.2369555766991922,normal
2026-03-13T10:35:08.308055+00:00,camera_02,192.168.1.102,104.21.34.28,443,TCP,67774,1.9575356924629823,normal
2026-03-13T10:35:09.115563+00:00,printer_01,192.168.1.121,192.168.1.87,9100,TCP,177158,1.9411478697198696,normal
2026-03-13T10:35:11.592506+00:00,printer_01,192.168.1.121,192.168.1.170,9100,TCP,182265,3.766764080668185,normal
2026-03-13T10:35:12.099607+00:00,camera_01,192.168.1.101,104.21.34.13,443,TCP,143207,0.407096562159931,normal
2026-03-13T10:35:13.956194+00:00,printer_01,192.168.1.121,192.168.1.243,9100,TCP,193014,1.319942441118607,normal
2026-03-13T10:35:14.127513+00:00,camera_02,192.168.1.102,104.21.34.47,443,TCP,54667,1.5606422164834943,normal
2026-03-13T10:35:16.288587+00:00,printer_01,192.168.1.121,192.168.1.17,9100,TCP,100480,0.4138946395926759,normal
2026-03-13T10:35:17.331037+00:00,camera_01,192.168.1.101,104.21.34.20,443,TCP,63777,1.2494223822495665,normal
2026-03-13T10:35:18.115799+00:00,thermostat_01,192.168.1.131,54.239.28.85,443,TCP,1571,0.3047827807162772,normal
2026-03-13T10:35:19.363403+00:00,camera_02,192.168.1.102,104.21.34.32,443,TCP,142900,0.5650027453537837,normal
2026-03-13T10:35:23.613758+00:00,camera_01,192.168.1.101,104.21.34.33,443,TCP,79125,1.511975180396581,normal
2026-03-13T10:35:25.633378+00:00,camera_02,192.168.1.102,104.21.34.35,443,TCP,148532,0.4599495910981681,normal
2026-03-13T10:35:28.819210+00:00,camera_01,192.168.1.101,104.21.34.21,443,TCP,94884,1.19837611460458,normal
2026-03-13T10:35:30.858344+00:00,camera_02,192.168.1.102,104.21.34.48,443,TCP,120540,1.0397638619173697,normal
2026-03-13T10:35:35.278107+00:00,camera_01,192.168.1.101,104.21.34.10,443,TCP,114255,0.8083969980048931,normal
2026-03-13T10:35:37.317991+00:00,camera_02,192.168.1.102,104.21.34.29,443,TCP,117136,1.5789868065565849,normal
2026-03-13T10:35:42.040771+00:00,camera_01,192.168.1.101,104.21.34.43,443,TCP,97322,0.1379841657845669,normal
2026-03-13T10:35:44.089368+00:00,camera_02,192.168.1.102,104.21.34.19,443,TCP,109201,0.3988882480258672,normal
2026-03-13T10:35:47.899856+00:00,camera_01,192.168.1.101,104.21.34.46,443,TCP,94750,0.3742996467005662,normal
2026-03-13T10:35:49.936174+00:00,camera_02,192.168.1.102,104.21.34.30,443,TCP,62664,0.3800240822811486,normal
